County,Median Household Income
Anderson,"$38,807 "
Andrews,"$50,248 "
Angelina,"$42,536 "
Aransas,"$54,374 "
Archer,"$55,290 "
Armstrong,"$60,233 "
Atascosa,"$41,599 "
Austin,"$55,686 "
Bailey,"$49,737 "
Bandera,"$48,461 "
Bastrop,"$42,177 "
Baylor,"$53,984 "
Bee,"$31,834 "
Bell,"$46,594 "
Bexar,"$48,569 "
Blanco,"$58,805 "
Borden,"$66,783 "
Bosque,"$45,635 "
Bowie,"$44,151 "
Brazoria,"$51,812 "
Brazos,"$43,430 "
Brewster,"$52,483 "
Briscoe,"$45,758 "
Brooks,"$41,529 "
Brown,"$42,771 "
Burleson,"$49,975 "
Burnet,"$53,751 "
Caldwell,"$38,734 "
Calhoun,"$52,180 "
Callahan,"$45,798 "
Cameron,"$33,690 "
Camp,"$40,272 "
Carson,"$48,021 "
Cass,"$41,275 "
Castro,"$71,612 "
Chambers,"$59,687 "
Cherokee,"$38,190 "
Childress,"$34,028 "
Clay,"$48,038 "
Cochran,"$44,903 "
Coke,"$45,856 "
Coleman,"$47,128 "
Collin,"$71,246 "
Collingsworth,"$44,903 "
Colorado,"$51,732 "
Comal,"$62,994 "
Comanche,"$47,959 "
Concho,"$41,219 "
Cooke,"$54,759 "
Coryell,"$38,222 "
Cottle,"$68,268 "
Crane,"$49,749 "
Crockett,"$46,364 "
Crosby,"$41,146 "
Culberson,"$69,350 "
Dallam,"$65,132 "
Dallas,"$65,401 "
Dawson,"$42,595 "
Deaf Smith,"$54,950 "
Delta,"$43,628 "
Denton,"$63,283 "
DeWitt,"$60,890 "
Dickens,"$38,730 "
Dimmit,"$44,874 "
Donley,"$45,336 "
Duval,"$42,410 "
Eastland,"$65,416 "
Ector,"$49,887 "
Edwards,"$55,329 "
Ellis,"$49,333 "
El Paso,"$41,818 "
Erath,"$43,900 "
Falls,"$39,865 "
Fannin,"$42,562 "
Fayette,"$57,962 "
Fisher,"$49,100 "
Floyd,"$42,627 "
Foard,"$52,630 "
Fort Bend,"$61,791 "
Franklin,"$44,725 "
Freestone,"$40,407 "
Frio,"$33,407 "
Gaines,"$47,826 "
Galveston,"$57,941 "
Garza,"$31,223 "
Gillespie,"$68,885 "
Glasscock,"$87,334 "
Goliad,"$49,513 "
Gonzales,"$47,272 "
Gray,"$45,091 "
Grayson,"$47,045 "
Gregg,"$49,152 "
Grimes,"$39,033 "
Guadalupe,"$49,405 "
Hale,"$38,674 "
Hall,"$35,416 "
Hamilton,"$65,685 "
Hansford,"$66,588 "
Hardeman,"$45,863 "
Hardin,"$49,159 "
Harris,"$60,183 "
Harrison,"$45,396 "
Hartley,"$76,005 "
Haskell,"$46,070 "
Hays,"$50,212 "
Hemphill,"$61,340 "
Henderson,"$43,356 "
Hidalgo,"$31,153 "
Hill,"$44,776 "
Hockley,"$46,051 "
Hood,"$55,132 "
Hopkins,"$45,219 "
Houston,"$44,693 "
Howard,"$45,105 "
Hudspeth,"$26,835 "
Hunt,"$42,819 "
Hutchinson,"$46,860 "
Irion,"$72,353 "
Jack,"$41,038 "
Jackson,"$47,642 "
Jasper,"$43,486 "
Jeff Davis,"$48,623 "
Jefferson,"$46,547 "
Jim Hogg,"$36,847 "
Jim Wells,"$46,483 "
Johnson,"$47,654 "
Jones,"$35,520 "
Karnes,"$61,330 "
Kaufman,"$47,580 "
Kendall,"$84,853 "
Kenedy,"$46,296 "
Kent,"$51,139 "
Kerr,"$56,093 "
Kimble,"$48,071 "
King,"$81,541 "
Kinney,"$35,119 "
Kleberg,"$43,560 "
Knox,"$42,857 "
Lamar,"$46,538 "
Lamb,"$50,667 "
Lampasas,"$54,153 "
La Salle,"$41,114 "
Lavaca,"$57,399 "
Lee,"$53,791 "
Leon,"$42,878 "
Liberty,"$40,904 "
Limestone,"$41,072 "
Lipscomb,"$83,655 "
Live Oak,"$38,734 "
Llano,"$52,538 "
Loving,"$49,072 "
Lubbock,"$46,502 "
Lynn,"$40,351 "
McCulloch,"$41,306 "
McLennan,"$45,772 "
McMullen,"$73,356 "
Madison,"$35,865 "
Marion,"$42,536 "
Martin,"$64,602 "
Mason,"$49,261 "
Matagorda,"$48,150 "
Maverick,"$35,133 "
Medina,"$44,456 "
Menard,"$41,220 "
Midland,"$126,631 "
Milam,"$40,552 "
Mills,"$45,663 "
Mitchell,"$37,113 "
Montague,"$44,790 "
Montgomery,"$65,516 "
Moore,"$51,476 "
Morris,"$43,036 "
Motley,"$39,505 "
Nacogdoches,"$41,188 "
Navarro,"$42,869 "
Newton,"$36,839 "
Nolan,"$48,017 "
Nueces,"$47,999 "
Ochiltree,"$59,892 "
Oldham,"$56,033 "
Orange,"$48,173 "
Palo Pinto,"$45,095 "
Panola,"$47,191 "
Parker,"$59,929 "
Parmer,"$57,137 "
Pecos,"$40,391 "
Polk,"$42,830 "
Potter,"$49,498 "
Presidio,"$53,222 "
Rains,"$38,200 "
Randall,"$52,391 "
Reagan,"$54,091 "
Real,"$40,667 "
Red River,"$47,762 "
Reeves,"$44,232 "
Refugio,"$48,266 "
Roberts,"$52,804 "
Robertson,"$45,866 "
Rockwall,"$64,943 "
Runnels,"$44,352 "
Rusk,"$39,551 "
Sabine,"$40,477 "
San Augustine,"$43,642 "
San Jacinto,"$39,298 "
San Patricio,"$48,391 "
San Saba,"$40,340 "
Schleicher,"$46,015 "
Scurry,"$47,272 "
Shackelford,"$86,294 "
Shelby,"$44,038 "
Sherman,"$91,855 "
Smith,"$57,076 "
Somervell,"$50,164 "
Starr,"$32,146 "
Stephens,"$45,759 "
Sterling,"$63,329 "
Stonewall,"$59,419 "
Sutton,"$56,622 "
Swisher,"$53,734 "
Tarrant,"$55,615 "
Taylor,"$52,429 "
Terrell,"$61,631 "
Terry,"$41,634 "
Throckmorton,"$44,582 "
Titus,"$41,207 "
Tom Green,"$52,947 "
Travis,"$74,032 "
Trinity,"$39,206 "
Tyler,"$36,694 "
Upshur,"$39,674 "
Upton,"$50,428 "
Uvalde,"$45,255 "
Val Verde,"$41,079 "
Van Zandt,"$42,656 "
Victoria,"$53,881 "
Walker,"$32,334 "
Waller,"$44,779 "
Ward,"$48,109 "
Washington,"$58,426 "
Webb,"$35,626 "
Wharton,"$48,384 "
Wheeler,"$48,691 "
Wichita,"$46,322 "
Wilbarger,"$49,537 "
Willacy,"$31,710 "
Williamson,"$56,693 "
Wilson,"$49,745 "
Winkler,"$62,259 "
Wise,"$48,435 "
Wood,"$42,978 "
Yoakum,"$44,395 "
Young,"$53,227 "
Zapata,"$28,981 "
Zavala,"$33,303 "